name,description
Closure and Regulation of Schools,"On March 15 2020, the Baker-Polito Administration announced a three-week suspension of school operations for educational purposes at all public and private elementary and secondary (K-12) schools in the Commonwealth beginning Tuesday, March 17. On March 1"
Closure and Regulation of Schools,"The Baker-Polito Administration announced a three-week suspension of school operations for educational purposes at all public and private elementary and secondary (K-12) schools in Massachusetts, USA, beginning Tuesday, March 17 2020."
COVID-19 Vaccines,"Baker-Polito Administration announced December 9th, allocation and distribution plans for the first round of COVID-19 vaccine shipments to Massachusetts set to begin around December 15."
Curfew,The Baker-Polito Administration issued a revised Stay At Home Advisory to ensure residents avoid unnecessary activities that can lead to increased COVID-19 transmission starting November 6th.
Declaration of Emergency,"Governor Charlie Baker declared a State of Emergency in Massachusetts, USA, on 10.03.2020 to support the Commonwealth's response to the outbreak of Coronavirus."
Health Monitoring,Governor Charlie Baker of Massachusetts announced on April 1st that the Governor's Office has hired Attorney Mark W. Pearlstein to conduct an independent investigation of the Holyoke Soldiers' Home and the events that led to the recent tragic deaths f
Health Monitoring,"On 04/03/2020 the Baker-Polito Administration announced the creation of the COVID-19 Community Tracing Collaborative (CTC) to mitigate the spread of COVID-19 in Massachusetts, USA."
Health Resources,"Baker-Polito Administration announces increased resources for health care providers, expanded support for long-term care facilities, COVID-19 testing initiatives in Massachusetts, USA."
Health Resources,"Baker-Polito Administration of Massachusetts, USA, today announced that a former Boston Medical Center hospital building will be temporarily reopened and used to meet COVID-19 related medical needs of area homeless residents."
Health Resources,"Baker-Polito Administration outlines response efforts to boost hospital capacity in Massachusetts, USA."
Health Resources,"Department of Public Health has issued an order designed to provide on-demand licensing and re-licensing for certain health care professionals. The Order expedites licensing for professionals with licenses in good standing in other states, and professiona"
Health Resources,"Medical schools facilitate early graduation of their qualified fourth-year students to allow graduates to support the health care workforce. Medical school graduates who have matched as an intern, resident or fellow with a Board-approved Massachusetts hea"
Health Resources,"On 10th April, the Baker-Polito Administration provided an update on the Commonwealth's hospital capacity and efforts to add more beds to the system to meet the expected surge in COVID-19 cases."
Health Resources,"On April 10th, a new Department of Public Health advisory, consistent with CDC guidance, recommends that all residents wear a mask or face covering in public when social distancing is not possible. In addition, the Executive Branch issued similar guidance"
Health Resources,"On April 10th, the Baker-Polito Administration authorized the activation of an additional 3,000 military personnel of the Massachusetts National Guard to support the Commonwealth's COVID-19 response."
Health Resources,"On March 26 2020, the Baker-Polito Administration of Massachusetts, USA, gave expedited approval for pharmacists licensed in other states to practice in Massachusetts, and allowing the remote processing of prescriptions by pharmacy technicians, exempted h"
Health Resources,The Baker-Polito Administration announced an online portal where individuals and companies can easily donate or sell personal protective equipment (PPE) and volunteer to support the COVID-19 outbreak in Massachusetts.
Health Resources,The Baker-Polito Administration of Massachusetts announced the launch of Buoy Health's new online resource for residents to check their symptoms and connect with the next appropriate health care resource.
Health Resources,The Baker-Polito Administration of Massachusetts on April 7th announced a new financial package to support providers through the MassHealth program. The Administration also announced new resources to support older adults living in long-term care facilitie
Health Resources,"The Baker-Polito Administration of Massachusetts on April 9th announced the expansion of SafeLink, the Commonwealth's statewide, 24/7, toll-free and confidential domestic violence hotline to now include resources and support for survivors of sexual assa"
