"name","description"
"mass1","$100 million commitment this fiscal year to expand the capacity of the Residential Assistance for Families in Transition (RAFT) program to provide relief to renters and landlords impacted by COVID19"
"mass10","Additionally the Administration also announced today that it will now cover the costs of COVID19 testing at sites dedicated to early education providers"
"mass11","Additionally the Department of Public Health (DPH) and the COVID19 Command Center in consultation with the Reopening Advisory Board and based on feedback from industry labor and community coalitions has developed Mandatory Workplace Safety Standards"
"mass13","After consulting with an epidemiologist from the Department of Public Health a school administrator or the local board of health can request a mobile rapid response unit be deployed by the COVID19 Command Response Center"
"mass17","All providers participating in the†Massachusetts COVID19 Vaccine Program (MCVP)†are required to sign an MCVP Agreement to receive delivery of any COVID19 vaccine"
"mass22","Although we are not ordering the closure of childcare programs at this time we are strongly urging childcare providers to strictly observe guidelines that are being issued by the Department of Early Education and Care (EEC)"
"mass25","Anticipating a surge in COVID19 cases the Administration worked collaboratively with the City of Boston and community partners to provide an additional 1000 beds for COVID19 patients at this new site"
"mass30","As part of EEC's health and safety regulations for licensed childcare programs (606 CMR 711) programs should incorporate any specific practices needed to support the continued prevention of COVID19 transmission into their program policies"
"mass31","As part of its efforts to expand existing health care capacity, the Administration's COVID-19 Response Command Center is working with long-term care facilities to establish dedicated skilled nursing facilities to care for individuals infected with COVID19"
"mass39","Based on this new guidance hotels motels and shortterm rentals may only be used for efforts related to fighting COVID19 like front line health workers or individuals or for Massachusetts residents who have been otherwise displaced from their residences"
"mass43","Below is a list of orders previously†issued by Governor Baker the Department of Public Health and other state agencies to respond to COVID19 along with associated guidance and other related resources"
"mass44","Buoy Health's online 24/7 tool is free for Massachusetts residents and uses current COVID19 guidance from the CDC and Massachusetts Department of Public Health"
"mass48","By working with a wide range of partners we have dramatically increased Massachusetts' COVID19 testing capacity and we are grateful to CVS for their partnership in launching this new rapid testing siteù said Governor Charlie Baker"
"mass51","Can families who attend EEC-affiliated programs contact the EEC Healthline for support with questions on COVID-19†The EEC Healthline is designed to support providers and/or educators implementing EEC's COVID-19 Mitigation Guidelines & Protocols"
"mass52","Capacity of the facility can grow with demand to 250 beds marking a significant increase in clinical capacity to treat homeless individuals who contract COVID19"
"mass53","Cape Cod Field Medical Station: The Joint Base Cape Cod Field Medical Station supports the Administration's strategy to increase hospital bed capacity for COVID19 patients across the Commonwealth through the development of five regional medical facilities"
"mass54","CARES Act Unemployment Benefit Implementation: The Baker-Polito Administration earlier today announced details for the initial implementation of federal unemployment benefits in the CARES Act the federal based COVID19 relief package"
"mass62","Community Health Centers throughout the Commonwealth are open and accepting patients and this campaign encourages residents to continue to seek care for their medical conditions and reminds individuals not to delay treatment"
"mass65","Confirm that your facility has signed and electronically submitted the Massachusetts COVID19 Provider (MCVP) Enrollment Form in the MIIS by contacting the DPH Vaccine Unit at dphvaccinemanagement@massmailstatemaus"
